# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05367e-05 to 105.476 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_m                    6:d_ur                   7:d_ncdm[0]              8:d_tot                  9:phi                   10:psi                
       4.471040148684e-01       3.549307843542e-03      -3.051018871663e+04      -3.066379567239e+04      -3.050268826757e+04       3.621326167234e-03      -1.587097313542e+01      -3.049742985733e+04       8.122084305728e-03       8.122084305617e-03 
       4.639616356584e-01       3.357524236666e-03      -3.108006239018e+04      -3.123526815202e+04      -3.107134724252e+04       3.425651081764e-03      -1.501527870292e+01      -3.106599080909e+04       7.683205672779e-03       7.683205672682e-03 
       4.818822508901e-01       3.166304863528e-03      -3.161694049748e+04      -3.177592647653e+04      -3.160899517408e+04       3.230551578119e-03      -1.415963744344e+01      -3.160354606335e+04       7.245616534283e-03       7.245616534198e-03 
       5.010357293130e-01       2.980294413051e-03      -3.217154608669e+04      -3.233399364888e+04      -3.216402294706e+04       3.040766524356e-03      -1.333701385448e+01      -3.215847816279e+04       6.819923225216e-03       6.819923225142e-03 
       5.216414668512e-01       2.802090238519e-03      -3.278785489956e+04      -3.295241730417e+04      -3.277934337628e+04       2.858946511517e-03      -1.252935376505e+01      -3.277369252449e+04       6.412133428675e-03       6.412133428610e-03 
       5.439893379097e-01       2.625608815415e-03      -3.341159391504e+04      -3.357937492626e+04      -3.340298999756e+04       2.678884223594e-03      -1.174220054165e+01      -3.339723164286e+04       6.008292737002e-03       6.008292736947e-03 
       5.684727512704e-01       2.450951441505e-03      -3.405917733180e+04      -3.423065240568e+04      -3.405077435590e+04       2.500682755033e-03      -1.096452873516e+01      -3.404490433718e+04       5.608596596748e-03       5.608596596701e-03 
       5.956430119263e-01       2.278967133106e-03      -3.476915279550e+04      -3.494374154745e+04      -3.476018225568e+04       2.325208679014e-03      -1.019613475456e+01      -3.475418994971e+04       5.215025772172e-03       5.215025772132e-03 
       6.263031822375e-01       2.105933356881e-03      -3.552205618557e+04      -3.570067241219e+04      -3.551309481939e+04       2.148664183968e-03      -9.436057782008e+00      -3.550697272654e+04       4.819098468987e-03       4.819098468953e-03 
       6.616797200552e-01       1.931205597486e-03      -3.635882377830e+04      -3.654148250184e+04      -3.634950782098e+04       1.970391052606e-03      -8.645194086855e+00      -3.634324154686e+04       4.419258468264e-03       4.419258468236e-03 
       7.037582277056e-01       1.751296935520e-03      -3.729849073781e+04      -3.748595154932e+04      -3.728899793091e+04       1.786831883582e-03      -7.840402704390e+00      -3.728256970648e+04       4.007562077144e-03       4.007562077121e-03 
       7.559926591020e-01       1.562470423149e-03      -3.840002942085e+04      -3.859297565866e+04      -3.839020862608e+04       1.594173921796e-03      -7.000955815501e+00      -3.838359057300e+04       3.575459240699e-03       3.575459240682e-03 
       8.249241681955e-01       1.358428640792e-03      -3.975124317278e+04      -3.995096418849e+04      -3.974105930985e+04       1.385992053505e-03      -6.085924997770e+00      -3.973420839379e+04       3.108550307892e-03       3.108550307879e-03 
