# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.06666e-05 to 106.777 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_m                    6:d_ur                   7:d_ncdm[0]              8:d_tot                  9:phi                   10:psi                
       7.151071884891e-01       1.503615689399e-03      -3.721040889522e+04      -3.739399260133e+04      -3.720033953843e+04       1.542441858159e-03      -7.824254474140e+00      -3.719410056457e+04       3.993208891054e-03       3.993208891033e-03 
       7.679714388706e-01       1.342060780756e-03      -3.830441633057e+04      -3.849331418984e+04      -3.829397710734e+04       1.376715320913e-03      -6.980090092222e+00      -3.828755472435e+04       3.564164570847e-03       3.564164570830e-03 
       8.376193174060e-01       1.167593952410e-03      -3.964359763713e+04      -3.983908724125e+04      -3.963277813312e+04       1.197743493837e-03      -6.078530852520e+00      -3.962613122481e+04       3.100834303894e-03       3.100834303882e-03 
       9.375109699637e-01       9.732341961308e-04      -4.139582862788e+04      -4.159994756536e+04      -4.138451599418e+04       9.983648987317e-04      -5.067316873733e+00      -4.137757530716e+04       2.584654972586e-03       2.584654972578e-03 
       1.095196755980e+00       7.552592043488e-04      -4.383990883032e+04      -4.405607103196e+04      -4.382791514108e+04       7.747614819988e-04      -3.930053385842e+00      -4.382056467688e+04       2.005782914753e-03       2.005782914749e-03 
       1.346684558765e+00       5.370030637734e-04      -4.712955482667e+04      -4.736196651827e+04      -4.711667912392e+04       5.508693863618e-04      -2.797538993248e+00      -4.710877710534e+04       1.426133970812e-03       1.426133970810e-03 
       1.692343201579e+00       3.666114190956e-04      -5.081192909144e+04      -5.106260392966e+04      -5.079812891651e+04       3.760778864622e-04      -1.908517665519e+00      -5.078960948388e+04       9.736172204559e-04       9.736172204549e-04 
       2.130474357747e+00       2.484165180156e-04      -5.456482185737e+04      -5.483423730930e+04      -5.455018673786e+04       2.548309565060e-04      -1.290760508006e+00      -5.454103804740e+04       6.597220985486e-04       6.597220985482e-04 
       2.682108078138e+00       1.676267620851e-04      -5.835388062345e+04      -5.864242842363e+04      -5.833857858109e+04       1.719550391882e-04      -8.707554588283e-01      -5.832879453775e+04       4.451646887071e-04       4.451646887069e-04 
       3.376574016620e+00       1.126891230619e-04      -6.217253529628e+04      -6.248071738345e+04      -6.215685420524e+04       1.155987887492e-04      -5.886280277196e-01      -6.214642979616e+04       2.992635966512e-04       2.992635966512e-04 
       4.250854834327e+00       7.550025442220e-05      -6.601615058371e+04      -6.634468235085e+04      -6.600057542451e+04       7.744962112429e-05      -3.920715075658e-01      -6.598950638151e+04       2.004991734617e-04       2.004991734617e-04 
